id,date,user,pc,url
HTTP-100002,2024-03-01 12:46:00,USER_BENIGN_ALICE,PC-ALI-01,http://google.com/page
HTTP-100003,2024-03-01 12:57:00,USER_BENIGN_ALICE,PC-ALI-01,http://internal-portal.corp/page
HTTP-100004,2024-03-01 09:53:00,USER_BENIGN_ALICE,PC-ALI-01,http://stackoverflow.com/page
HTTP-100005,2024-03-01 10:52:00,USER_BENIGN_ALICE,PC-ALI-01,http://docs.python.org/page
HTTP-100006,2024-03-01 13:43:00,USER_BENIGN_ALICE,PC-ALI-01,http://internal-portal.corp/page
HTTP-100007,2024-03-01 11:23:00,USER_BENIGN_ALICE,PC-ALI-01,http://stackoverflow.com/page
HTTP-100008,2024-03-01 09:44:00,USER_BENIGN_ALICE,PC-ALI-01,http://internal-portal.corp/page
HTTP-100009,2024-03-01 13:29:00,USER_BENIGN_ALICE,PC-ALI-01,http://google.com/page
HTTP-100016,2024-03-01 10:16:00,USER_INSIDER_MALORY,PC-MAL-01,http://docs.python.org/page
HTTP-100017,2024-03-01 09:49:00,USER_INSIDER_MALORY,PC-MAL-01,http://wikipedia.org/page
HTTP-100018,2024-03-01 09:27:00,USER_INSIDER_MALORY,PC-MAL-01,http://internal-portal.corp/page
HTTP-100019,2024-03-01 10:45:00,USER_INSIDER_MALORY,PC-MAL-01,http://internal-portal.corp/page
HTTP-100020,2024-03-01 09:15:00,USER_INSIDER_MALORY,PC-MAL-01,http://wikipedia.org/page
HTTP-100021,2024-03-01 14:53:00,USER_INSIDER_MALORY,PC-MAL-01,http://internal-portal.corp/page
HTTP-100030,2024-03-01 09:41:00,USER_INSIDER_BOB,PC-BOB-01,http://stackoverflow.com/page
HTTP-100031,2024-03-01 10:26:00,USER_INSIDER_BOB,PC-BOB-01,http://stackoverflow.com/page
HTTP-100032,2024-03-01 10:49:00,USER_INSIDER_BOB,PC-BOB-01,http://wikipedia.org/page
HTTP-100033,2024-03-01 12:36:00,USER_INSIDER_BOB,PC-BOB-01,http://stackoverflow.com/page
HTTP-100034,2024-03-01 13:19:00,USER_INSIDER_BOB,PC-BOB-01,http://wikipedia.org/page
HTTP-100035,2024-03-01 12:43:00,USER_INSIDER_BOB,PC-BOB-01,http://github.com/page
HTTP-100036,2024-03-01 14:41:00,USER_INSIDER_BOB,PC-BOB-01,http://stackoverflow.com/page
HTTP-100037,2024-03-01 12:28:00,USER_INSIDER_BOB,PC-BOB-01,http://internal-portal.corp/page
HTTP-100038,2024-03-01 12:23:00,USER_INSIDER_BOB,PC-BOB-01,http://google.com/page
HTTP-100044,2024-03-01 12:21:00,USER_PEER_CHARLIE,PC-CHA-01,http://google.com/page
HTTP-100045,2024-03-01 10:57:00,USER_PEER_CHARLIE,PC-CHA-01,http://github.com/page
HTTP-100046,2024-03-01 14:22:00,USER_PEER_CHARLIE,PC-CHA-01,http://google.com/page
HTTP-100047,2024-03-01 13:24:00,USER_PEER_CHARLIE,PC-CHA-01,http://github.com/page
HTTP-100048,2024-03-01 11:58:00,USER_PEER_CHARLIE,PC-CHA-01,http://github.com/page
HTTP-100049,2024-03-01 12:32:00,USER_PEER_CHARLIE,PC-CHA-01,http://internal-portal.corp/page
HTTP-100050,2024-03-01 13:23:00,USER_PEER_CHARLIE,PC-CHA-01,http://wikipedia.org/page
